player,format,matches,innings_count,total_runs,total_balls,total_fours,total_sixes,dismissals,avg_sr,avg_boundary,avg_dot_pct,highest_score,fifties,hundreds,ducks,batting_avg,consistency,balls_bowled,runs_given,wickets,matches_bowled,dot_balls,overs_bowled,economy,bowling_avg,strike_rate_bowl,dot_pct_bowl,role,formats_played,bat_impact,bowl_impact,impact_score,cluster,pca_x,pca_y
A Symonds,ODI,105.0,105.0,3589.0,3960.0,304.0,73.0,82.0,79.32961904761905,8.640952380952381,57.706761904761905,151.0,29.0,5.0,11.0,43.77,55.24,3402.0,2945.0,69.0,92.0,1667.0,567.0,5.19,42.68,49.3,49.0,Allrounder,IPL+ODI+T20I,38.26685690116269,57.86560916411967,46.11,2.0,0.7432140092907646,-2.9612638690808395
A Symonds,T20I,11.0,11.0,337.0,199.0,33.0,10.0,7.0,135.04454545454544,16.855454545454545,35.76090909090909,85.0,2.0,0.0,2.0,48.14,72.73,185.0,281.0,8.0,12.0,46.0,30.8,9.12,35.12,23.12,24.86,Allrounder,IPL+ODI+T20I,49.67373863154196,36.606299891340456,44.45,3.0,5.051207529657433,-0.7362074852296869
A Turay,T20I,16.0,16.0,263.0,250.0,29.0,5.0,15.0,100.1425,13.165,54.53625,44.0,0.0,0.0,1.0,17.53,31.25,83.0,93.0,12.0,5.0,35.0,13.8,6.74,7.75,6.92,42.17,Allrounder,T20I,26.658888452381696,49.84797544832541,35.93,3.0,0.8729956570924516,-0.19898177720809548
A Turkmen,T20I,15.0,15.0,262.0,197.0,24.0,12.0,10.0,112.17,15.077333333333334,46.006,51.0,2.0,0.0,1.0,26.2,33.33,324.0,388.0,12.0,15.0,148.0,54.0,7.19,32.33,27.0,45.68,Allrounder,T20I,31.91208743233591,47.993067367015406,38.34,3.0,1.8023160008657344,-0.5942427039246656
A Vala,ODI,56.0,56.0,1783.0,2557.0,147.0,26.0,55.0,60.775,5.716428571428572,63.361964285714286,104.0,12.0,1.0,4.0,32.42,66.07,1998.0,1320.0,46.0,51.0,1161.0,333.0,3.96,28.7,43.43,58.11,Allrounder,ODI+T20I,32.5487400033471,62.41215000576864,44.49,2.0,-0.6386665459575249,-3.5682010222310656
A Vala,T20I,55.0,55.0,1268.0,1080.0,109.0,38.0,46.0,102.538,11.414909090909092,45.088,93.0,8.0,0.0,1.0,27.57,45.45,569.0,619.0,37.0,41.0,221.0,94.8,6.53,16.73,15.38,38.84,Allrounder,ODI+T20I,32.830281906904645,50.85289334244666,40.04,3.0,1.6878000410548295,-0.8817834637133312
A Venkatesh,T20I,15.0,15.0,260.0,241.0,24.0,2.0,11.0,101.132,8.822666666666667,48.907333333333334,54.0,1.0,0.0,2.0,23.64,33.33,194.0,217.0,17.0,11.0,85.0,32.3,6.72,12.76,11.41,43.81,Allrounder,T20I,27.41350943028277,50.47138318368167,36.64,2.0,0.8850286719090017,-0.5387145345814793
A Wright,T20I,9.0,9.0,13.0,34.0,0.0,0.0,5.0,26.177777777777777,0.0,80.30333333333334,6.0,0.0,0.0,5.0,2.6,0.0,519.0,459.0,27.0,25.0,250.0,86.5,5.31,17.0,19.22,48.17,Allrounder,T20I,3.290104694360014,55.505953280646274,24.18,0.0,-3.8203363612482275,0.27729972755881693
A Yon,T20I,12.0,12.0,181.0,159.0,16.0,7.0,11.0,70.5525,8.5525,64.09416666666667,67.0,2.0,0.0,3.0,16.45,25.0,120.0,143.0,10.0,7.0,47.0,20.0,7.15,14.3,12.0,39.17,Allrounder,T20I,20.545470662742872,47.290582107399324,31.24,1.0,-0.31888132463543045,0.25706818893995265
A Zampa,IPL,5.0,5.0,15.0,24.0,1.0,0.0,5.0,56.508,2.8579999999999997,52.064,7.0,0.0,0.0,1.0,3.0,0.0,467.0,656.0,31.0,22.0,143.0,77.8,8.43,21.16,15.06,30.62,Allrounder,IPL+ODI+T20I,7.441142553189848,43.20222633692383,21.75,1.0,-1.069677348412267,2.3955266022387285
A Zampa,ODI,57.0,57.0,378.0,573.0,32.0,2.0,37.0,63.35877192982456,4.851578947368421,59.25105263157894,36.0,0.0,0.0,9.0,10.22,7.02,5890.0,5499.0,190.0,113.0,2668.0,981.7,5.6,28.94,31.0,45.3,Allrounder,IPL+ODI+T20I,12.611341735595627,68.18730491613827,34.84,4.0,-1.89067892363228,-0.2988742291414396
A Zampa,T20I,26.0,26.0,70.0,90.0,6.0,0.0,15.0,79.94923076923077,7.756153846153846,54.441538461538464,13.0,0.0,0.0,6.0,4.67,0.0,2419.0,3036.0,143.0,110.0,846.0,403.2,7.53,21.23,16.92,34.97,Allrounder,IPL+ODI+T20I,12.187224503860683,56.96532294246124,30.1,4.0,-0.7885143334313319,1.4452884654861629
A van der Merwe,ODI,,,,,,,,,,,,,,,,,126.0,79.0,1.0,3.0,76.0,21.0,3.76,79.0,126.0,60.32,Bowler,ODI,0.0,55.28576881164619,22.11,,,
AA Bilakhia,IPL,7.0,7.0,69.0,85.0,5.0,0.0,5.0,81.84285714285714,5.6499999999999995,44.57,22.0,0.0,0.0,0.0,13.8,14.29,,,,,,,,,,,Batter,IPL,17.272756744425994,0.0,10.36,,,
AA Chavan,IPL,,,,,,,,,,,,,,,,,248.0,339.0,8.0,13.0,110.0,41.3,8.21,42.38,31.0,44.35,Bowler,IPL,0.0,44.16897601435875,17.67,,,
AA Donald,ODI,,,,,,,,,,,,,,,,,149.0,134.0,1.0,3.0,91.0,24.8,5.4,134.0,149.0,61.07,Bowler,ODI,0.0,47.509465026970574,19.0,,,
AA Gajic,T20I,6.0,6.0,18.0,37.0,1.0,0.0,2.0,38.26333333333333,1.0416666666666667,71.52833333333334,9.0,0.0,0.0,2.0,9.0,0.0,289.0,388.0,18.0,15.0,126.0,48.2,8.05,21.56,16.06,43.6,Allrounder,T20I,6.895971094122825,46.894976197996755,22.9,0.0,-2.449162010151328,1.2729829792544454
AA Jangoo,ODI,5.0,5.0,153.0,166.0,6.0,5.0,4.0,61.48199999999999,2.966,55.896,104.0,1.0,1.0,1.0,38.25,40.0,,,,,,,,,,,Batter,ODI+T20I,27.280461434438525,0.0,16.37,,,
AA Jangoo,T20I,6.0,6.0,160.0,126.0,16.0,8.0,4.0,117.43166666666669,18.336666666666662,49.575,74.0,1.0,0.0,0.0,40.0,33.33,,,,,,,,,,,Batter,ODI+T20I,38.07082338993786,0.0,22.84,,,
AA Jasani,T20I,6.0,6.0,185.0,152.0,15.0,6.0,5.0,101.20166666666668,10.831666666666663,46.56666666666666,90.0,1.0,0.0,0.0,37.0,50.0,,,,,,,,,,,Batter,T20I,35.84228925765665,0.0,21.51,,,
AA Jhunjhunwala,IPL,15.0,15.0,217.0,210.0,19.0,5.0,13.0,98.538,11.863333333333332,48.785333333333334,53.0,1.0,0.0,1.0,16.69,20.0,85.0,130.0,1.0,10.0,28.0,14.2,9.15,130.0,85.0,32.94,Allrounder,IPL,23.53337893009177,30.773287678617432,26.43,3.0,1.3921136104400587,1.4959528926612589
AA Jimoh,T20I,,,,,,,,,,,,,,,,,73.0,73.0,4.0,5.0,35.0,12.2,5.98,18.25,18.25,47.95,Bowler,T20I,0.0,51.73580599784211,20.69,,,
AA Mulla,ODI,8.0,8.0,150.0,155.0,21.0,4.0,8.0,93.9775,17.825,65.50875,58.0,1.0,0.0,1.0,18.75,50.0,,,,,,,,,,,Batter,ODI,32.208604745994194,0.0,19.33,,,
AA Navicha,T20I,14.0,14.0,218.0,225.0,12.0,10.0,11.0,95.60857142857142,10.042857142857144,54.64,42.0,0.0,0.0,1.0,19.82,35.71,111.0,147.0,9.0,6.0,45.0,18.5,7.95,16.33,12.33,40.54,Allrounder,T20I,26.57443268044446,45.727909856034955,34.24,3.0,0.9151728138917287,0.13488201129805702
AA Obanda,ODI,14.0,14.0,487.0,677.0,56.0,8.0,13.0,73.5442857142857,10.029285714285717,65.42928571428571,89.0,3.0,0.0,0.0,37.46,64.29,,,,,,,,,,,Batter,ODI+T20I,36.073497892305745,0.0,21.64,,,
AA Obanda,T20I,37.0,37.0,678.0,567.0,83.0,23.0,35.0,98.11486486486488,14.84189189189189,57.73459459459459,103.0,2.0,1.0,4.0,19.37,37.84,,,,,,,,,,,Batter,ODI+T20I,29.216714369000364,0.0,17.53,,,
AA Onikoyi,T20I,26.0,26.0,372.0,423.0,26.0,12.0,22.0,78.72269230769231,9.993461538461538,62.13961538461539,52.0,1.0,0.0,5.0,16.91,26.92,,,,,,,,,,,Batter,T20I,22.357940227452197,0.0,13.41,,,
AA Paradkar,ODI,5.0,5.0,51.0,80.0,3.0,1.0,4.0,57.120000000000005,3.754,60.378,24.0,0.0,0.0,1.0,12.75,20.0,222.0,245.0,9.0,6.0,116.0,37.0,6.62,27.22,24.67,52.25,Allrounder,ODI,14.978041212684431,51.44643873065243,29.57,0.0,-1.536846637582579,-0.2209034438380924
AA Rahayu,T20I,20.0,20.0,184.0,204.0,12.0,6.0,14.0,86.881,8.6985,53.98049999999999,28.0,0.0,0.0,2.0,13.14,10.0,401.0,388.0,28.0,27.0,213.0,66.8,5.81,13.86,14.32,53.12,Allrounder,T20I,17.928594156733983,56.33358560192449,33.29,0.0,-0.739162456530631,-0.35974162603385257
AA Senn,T20I,16.0,16.0,301.0,334.0,19.0,4.0,15.0,74.25125,6.0075,55.241875,61.0,2.0,0.0,2.0,20.07,37.5,,,,,,,,,,,Batter,T20I,23.504064196764194,0.0,14.1,,,
AAP Atkinson,ODI,8.0,8.0,104.0,76.0,16.0,2.0,6.0,113.09625,14.72375,47.9325,38.0,0.0,0.0,1.0,17.33,37.5,472.0,535.0,13.0,11.0,240.0,78.7,6.8,41.15,36.31,50.85,Allrounder,ODI+T20I,29.70215662770228,49.85778303088307,37.76,3.0,1.2667760398171324,-0.7083271764274008
AAP Atkinson,T20I,,,,,,,,,,,,,,,,,65.0,123.0,6.0,4.0,23.0,10.8,11.39,20.5,10.83,35.38,Bowler,ODI+T20I,0.0,35.99891721393159,14.4,,,
AAP Rivero,T20I,19.0,19.0,176.0,195.0,8.0,4.0,13.0,89.38842105263159,6.431578947368421,47.63315789473684,31.0,0.0,0.0,2.0,13.54,15.79,469.0,428.0,27.0,23.0,230.0,78.2,5.47,15.85,17.37,49.04,Allrounder,T20I,18.519672089281293,55.52663374245368,33.32,1.0,-0.4759225677136569,-0.37126942203773433
AAhan Achar,T20I,5.0,5.0,12.0,15.0,1.0,0.0,1.0,90.0,3.3340000000000005,40.0,5.0,0.0,0.0,1.0,12.0,0.0,156.0,155.0,6.0,9.0,61.0,26.0,5.96,25.83,26.0,39.1,Allrounder,T20I,13.65655613625911,48.55011807861996,27.61,1.0,-0.342417437063252,0.8754130295336833
AB Agarkar,IPL,18.0,18.0,179.0,154.0,13.0,5.0,8.0,120.935,12.967222222222222,31.233333333333334,39.0,0.0,0.0,0.0,22.38,11.11,782.0,1174.0,29.0,42.0,274.0,130.3,9.01,40.48,26.97,35.04,Allrounder,IPL+ODI+T20I,26.051784099822328,41.59197708655449,32.27,3.0,2.3552216942227564,1.3578035981973873
AB Agarkar,ODI,37.0,37.0,352.0,539.0,26.0,6.0,34.0,59.358108108108105,5.152702702702703,61.97702702702703,53.0,1.0,0.0,4.0,10.35,18.92,3263.0,2788.0,100.0,65.0,2016.0,543.8,5.13,27.88,32.63,61.78,Allrounder,IPL+ODI+T20I,14.857915760880779,66.12817983551857,35.37,4.0,-2.2489294785223866,-1.3479455979728472
AB Agarkar,T20I,,,,,,,,,,,,,,,,,63.0,85.0,3.0,3.0,26.0,10.5,8.1,28.33,21.0,41.27,Bowler,IPL+ODI+T20I,0.0,44.10337670927156,17.64,,,
AB Barath,ODI,14.0,14.0,394.0,612.0,43.0,3.0,13.0,59.65785714285715,8.427857142857142,70.80142857142857,113.0,2.0,1.0,2.0,30.31,50.0,,,,,,,,,,,Batter,ODI,28.893794547078603,0.0,17.34,,,
AB Dinda,IPL,16.0,16.0,26.0,48.0,2.0,0.0,9.0,48.958125,2.143125,60.595625,7.0,0.0,0.0,6.0,2.89,0.0,1516.0,2103.0,69.0,75.0,652.0,252.7,8.32,30.48,21.97,43.01,Allrounder,IPL+ODI+T20I,6.403109196925442,50.15126681980628,23.9,1.0,-2.0526885592144652,1.6001882376465106
